log_file,task_name,phase,scenario_name,heuristic_score,heuristic_passed,judge_a_model,judge_a_score,judge_a_passed,judge_b_model,judge_b_score,judge_b_passed
research_summary__three_day_main_effect__main_delay_d0100__run2__d699ed8d.json,research_summary,three_day_main_effect,main_delay_d0100,4,True,qwen3:8b,,,llama3.1:8b,5,True
coding_task__r01_m04__sideB__three_day_tournament__factorial_delay__run1__75625ac0.json,coding_task,three_day_tournament,factorial_delay,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run20__8aec3967.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d1000_loss0_j000__run1__007e75c7.json,coding_task,three_day_combined_sample,combined_d1000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0000__run5__b01a6da1.json,coding_task,three_day_main_effect,main_delay_d0000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r01_m04__sideA__three_day_tournament__factorial_loss_jitter__run1__91f24f01.json,data_analysis,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run20__b769f0c2.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0000_loss10_j020__run1__a94ec566.json,data_analysis,three_day_combined_sample,combined_d0000_loss10_j020,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0200__run2__3e56b92e.json,data_analysis,three_day_main_effect,main_delay_d0200,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
planning_decision__r05_m02__sideA__three_day_tournament__factorial_delay__run1__ed0a4b19.json,planning_decision,three_day_tournament,factorial_delay,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run17__948399ab.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0750_loss1_j025__run1__241f09a4.json,planning_decision,three_day_combined_sample,combined_d0750_loss1_j025,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0000__run1__01a0c087.json,planning_decision,three_day_main_effect,main_delay_d0000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__r06_m01__sideB__three_day_tournament__factorial_loss__run1__001730d4.json,research_summary,three_day_tournament,factorial_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run8__a007f7c8.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0400_loss1_j025__run1__49de1617.json,research_summary,three_day_combined_sample,combined_d0400_loss1_j025,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0050__run5__28bebaf2.json,research_summary,three_day_main_effect,main_delay_d0050,3,False,qwen3:8b,3,False,llama3.1:8b,4,True
coding_task__r01_m01__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__a42c38fd.json,coding_task,three_day_tournament,factorial_delay_loss_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run16__1fa57248.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0350_loss50_j020__run1__c0baee08.json,coding_task,three_day_combined_sample,combined_d0350_loss50_j020,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0250__run5__c0e48276.json,coding_task,three_day_main_effect,main_delay_d0250,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r06_m04__sideB__three_day_tournament__factorial_delay_loss__run1__378419e4.json,data_analysis,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run7__956930b4.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0600_loss25_j001__run1__c71452c6.json,data_analysis,three_day_combined_sample,combined_d0600_loss25_j001,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0700__run3__a2c3bd90.json,data_analysis,three_day_main_effect,main_delay_d0700,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
planning_decision__r04_m02__sideB__three_day_tournament__factorial_loss_jitter__run1__cb69c774.json,planning_decision,three_day_tournament,factorial_loss_jitter,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run3__1cd1caa8.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0700_loss25_j010__run1__9c7b0c16.json,planning_decision,three_day_combined_sample,combined_d0700_loss25_j010,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d1000__run5__9b1be63d.json,planning_decision,three_day_main_effect,main_delay_d1000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r02_m01__sideB__three_day_tournament__factorial_delay_loss__run1__fccd3431.json,research_summary,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run14__bf236286.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0900_loss25_j025__run1__0c03c551.json,research_summary,three_day_combined_sample,combined_d0900_loss25_j025,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0750__run3__d4a4d912.json,research_summary,three_day_main_effect,main_delay_d0750,4,True,qwen3:8b,,,llama3.1:8b,5,True
coding_task__r06_m04__sideB__three_day_tournament__factorial_delay_loss__run1__4348e455.json,coding_task,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run12__44b3e9a1.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d1000_loss15_j000__run1__5c5425ec.json,coding_task,three_day_combined_sample,combined_d1000_loss15_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0900__run4__04618baa.json,coding_task,three_day_main_effect,main_delay_d0900,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r05_m02__sideB__three_day_tournament__factorial_loss__run1__f537b2c9.json,data_analysis,three_day_tournament,factorial_loss,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run3__064818db.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0250_loss50_j010__run1__8e04e842.json,data_analysis,three_day_combined_sample,combined_d0250_loss50_j010,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_jitter_j020__run2__cd26ecf3.json,data_analysis,three_day_main_effect,main_jitter_j020,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r06_m02__sideA__three_day_tournament__factorial_loss_jitter__run1__2fe1baf9.json,planning_decision,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run5__5f9734f9.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0500_loss0_j020__run1__4906c71d.json,planning_decision,three_day_combined_sample,combined_d0500_loss0_j020,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_jitter_j005__run1__f2efaf20.json,planning_decision,three_day_main_effect,main_jitter_j005,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__r01_m03__sideA__three_day_tournament__factorial_loss__run1__2e8589bc.json,research_summary,three_day_tournament,factorial_loss,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run17__5563e4fc.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,,,llama3.1:8b,4,True
research_summary__three_day_combined_sample__combined_d0500_loss75_j020__run1__7808bd30.json,research_summary,three_day_combined_sample,combined_d0500_loss75_j020,2,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_jitter_j015__run2__1314f0fb.json,research_summary,three_day_main_effect,main_jitter_j015,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
coding_task__r03_m01__sideB__three_day_tournament__factorial_delay_jitter__run1__96bae75d.json,coding_task,three_day_tournament,factorial_delay_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run11__cf6cf640.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d1000_loss0_j030__run1__c4978d33.json,coding_task,three_day_combined_sample,combined_d1000_loss0_j030,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0750__run5__83e5a087.json,coding_task,three_day_main_effect,main_delay_d0750,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r02_m01__sideB__three_day_tournament__factorial_delay_loss__run1__b38a9664.json,data_analysis,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run14__910c69b4.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0200_loss30_j025__run1__5854f13b.json,data_analysis,three_day_combined_sample,combined_d0200_loss30_j025,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss15__run5__6f897744.json,data_analysis,three_day_main_effect,main_loss_loss15,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r03_m04__sideB__three_day_tournament__factorial_loss__run1__86b03d08.json,planning_decision,three_day_tournament,factorial_loss,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run8__9686576f.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0500_loss75_j075__run1__40dfa97c.json,planning_decision,three_day_combined_sample,combined_d0500_loss75_j075,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_loss_loss20__run2__f8cb6a41.json,planning_decision,three_day_main_effect,main_loss_loss20,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__r04_m04__sideA__three_day_tournament__factorial_delay_loss_jitter__run1__72acbc42.json,research_summary,three_day_tournament,factorial_delay_loss_jitter,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run4__2404ab34.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d1000_loss0_j030__run1__b8c1513e.json,research_summary,three_day_combined_sample,combined_d1000_loss0_j030,3,False,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0250__run5__ce37582f.json,research_summary,three_day_main_effect,main_delay_d0250,4,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__r02_m04__sideB__three_day_tournament__factorial_loss_jitter__run1__49b4732f.json,coding_task,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run1__196ba9ba.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0950_loss20_j005__run1__9f602235.json,coding_task,three_day_combined_sample,combined_d0950_loss20_j005,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0600__run3__eb7874a6.json,coding_task,three_day_main_effect,main_delay_d0600,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r03_m01__sideB__three_day_tournament__factorial_delay_jitter__run1__d64f872e.json,data_analysis,three_day_tournament,factorial_delay_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run4__010c32ae.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0550_loss30_j025__run1__83105888.json,data_analysis,three_day_combined_sample,combined_d0550_loss30_j025,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss10__run3__0712757c.json,data_analysis,three_day_main_effect,main_loss_loss10,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r01_m03__sideA__three_day_tournament__factorial_loss__run1__bbe5928e.json,planning_decision,three_day_tournament,factorial_loss,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run20__661a89f5.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d1000_loss75_j050__run1__62a0d6b4.json,planning_decision,three_day_combined_sample,combined_d1000_loss75_j050,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_jitter_j075__run3__fbfc7878.json,planning_decision,three_day_main_effect,main_jitter_j075,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r07_m02__sideA__three_day_tournament__factorial_loss__run1__5d52de15.json,research_summary,three_day_tournament,factorial_loss,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run1__c314bd7f.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0300_loss30_j050__run1__70b728f5.json,research_summary,three_day_combined_sample,combined_d0300_loss30_j050,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0200__run5__1746def9.json,research_summary,three_day_main_effect,main_delay_d0200,3,False,qwen3:8b,,,llama3.1:8b,5,True
coding_task__r02_m04__sideA__three_day_tournament__factorial_loss__run1__1e729491.json,coding_task,three_day_tournament,factorial_loss,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run13__0d75453d.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0000_loss75_j005__run1__7053044f.json,coding_task,three_day_combined_sample,combined_d0000_loss75_j005,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0100__run5__6dca2fc5.json,coding_task,three_day_main_effect,main_delay_d0100,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r03_m02__sideA__three_day_tournament__factorial_delay_loss__run1__dd1fde64.json,data_analysis,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run9__813d3b99.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0500_loss0_j000__run1__6a1d7a76.json,data_analysis,three_day_combined_sample,combined_d0500_loss0_j000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss0__run4__3578cc42.json,data_analysis,three_day_main_effect,main_loss_loss0,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r05_m01__sideA__three_day_tournament__factorial_baseline__run1__cf4e1fa2.json,planning_decision,three_day_tournament,factorial_baseline,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run6__93865d64.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0450_loss50_j030__run1__866044d4.json,planning_decision,three_day_combined_sample,combined_d0450_loss50_j030,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_jitter_j010__run1__a3c0cfa7.json,planning_decision,three_day_main_effect,main_jitter_j010,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r03_m01__sideA__three_day_tournament__factorial_baseline__run1__af3a3da9.json,research_summary,three_day_tournament,factorial_baseline,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run7__e463c71f.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0550_loss30_j025__run1__4773bcc2.json,research_summary,three_day_combined_sample,combined_d0550_loss30_j025,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0600__run1__cbc913df.json,research_summary,three_day_main_effect,main_delay_d0600,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
coding_task__r02_m01__sideA__three_day_tournament__factorial_baseline__run1__049a2f9b.json,coding_task,three_day_tournament,factorial_baseline,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run2__ac1901b4.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0850_loss40_j001__run1__6a0ca80b.json,coding_task,three_day_combined_sample,combined_d0850_loss40_j001,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_loss_loss5__run5__7aaff228.json,coding_task,three_day_main_effect,main_loss_loss5,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r05_m04__sideA__three_day_tournament__factorial_delay_loss__run1__c8dd7461.json,data_analysis,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run12__18c05149.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0400_loss40_j000__run1__26cc74bd.json,data_analysis,three_day_combined_sample,combined_d0400_loss40_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0850__run1__629988e2.json,data_analysis,three_day_main_effect,main_delay_d0850,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r06_m01__sideB__three_day_tournament__factorial_loss__run1__ebc2b721.json,planning_decision,three_day_tournament,factorial_loss,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run1__99e7605c.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0500_loss0_j075__run1__0aef8427.json,planning_decision,three_day_combined_sample,combined_d0500_loss0_j075,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0700__run5__4088cc8e.json,planning_decision,three_day_main_effect,main_delay_d0700,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
research_summary__r03_m03__sideB__three_day_tournament__factorial_loss_jitter__run1__d61bf400.json,research_summary,three_day_tournament,factorial_loss_jitter,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run6__28b65ee1.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d1000_loss75_j050__run1__2cc7d963.json,research_summary,three_day_combined_sample,combined_d1000_loss75_j050,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_jitter_j025__run3__851a16b7.json,research_summary,three_day_main_effect,main_jitter_j025,5,True,qwen3:8b,,,llama3.1:8b,5,True
coding_task__r07_m03__sideA__three_day_tournament__factorial_loss_jitter__run1__306140bd.json,coding_task,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run14__2d471958.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0900_loss50_j050__run1__60f78e51.json,coding_task,three_day_combined_sample,combined_d0900_loss50_j050,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_jitter_j050__run2__75b02146.json,coding_task,three_day_main_effect,main_jitter_j050,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r02_m03__sideB__three_day_tournament__factorial_delay__run1__3036ae00.json,data_analysis,three_day_tournament,factorial_delay,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run2__55caa68c.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0250_loss5_j075__run1__ce3be173.json,data_analysis,three_day_combined_sample,combined_d0250_loss5_j075,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0200__run4__60b4ab8f.json,data_analysis,three_day_main_effect,main_delay_d0200,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
planning_decision__r03_m03__sideB__three_day_tournament__factorial_loss_jitter__run1__31030967.json,planning_decision,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run4__c66766d1.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d1000_loss0_j075__run1__e91952b1.json,planning_decision,three_day_combined_sample,combined_d1000_loss0_j075,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0050__run4__b8d53bd2.json,planning_decision,three_day_main_effect,main_delay_d0050,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r05_m04__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__43a8ef57.json,research_summary,three_day_tournament,factorial_delay_loss_jitter,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run3__c25a122c.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0200_loss30_j025__run1__b7b04012.json,research_summary,three_day_combined_sample,combined_d0200_loss30_j025,3,False,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0300__run5__5444c239.json,research_summary,three_day_main_effect,main_delay_d0300,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
